,Amenities,Bedrooms,Bathrooms,Area,Furnished,Level,location,Compound,price
10974,"Balcony,Covered Parking,Private Garden,Security,Electricity Meter,Water Meter,Natural Gas",2,1,113.0,0,0,Rehab City,Not in Compound,1750000.0
10977,No,3,3,170.0,0,5,Rehab City,Not in Compound,1000.0
10978,"Balcony,Covered Parking,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Landline",2,1,126.0,0,2,Zahraa Al Maadi,Not in Compound,1250000.0
10979,"Electricity Meter,Water Meter,Natural Gas",2,1,75.0,0,4,Salam City,Not in Compound,300000.0
10980,"Balcony,Covered Parking,Elevator",3,2,135.0,0,3,New Cairo - El Tagamoa,Not in Compound,1000000.0
10981,"Elevator,Balcony,Built in Kitchen Appliances",3,2,140.0,0,6,Nasr City,Not in Compound,850000.0
10982,No,2,1,105.0,0,10,Nasr City,Not in Compound,950.0
10984,"Balcony,Security,Covered Parking,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,2,140.0,0,4,Madinaty,Madinaty,2000000.0
10985,No,2,2,136.0,0,4,Helwan,Not in Compound,750000.0
10986,"Balcony,Security,Elevator",2,1,90.0,0,5,Rehab City,Not in Compound,1350000.0
10987,"Balcony,Electricity Meter,Water Meter",4,1,100.0,0,4,Shubra,Not in Compound,700000.0
10988,"Balcony,Electricity Meter,Natural Gas,Landline,Elevator",3,2,166.0,0,3,Hadayek al-Kobba,Not in Compound,1000000.0
10989,No,1,1,50.0,0,0,Helmeyat El Zaytoun,Not in Compound,230000.0
10990,"Built in Kitchen Appliances,Electricity Meter,Water Meter,Natural Gas",3,2,108.0,0,2,Nasr City,Not in Compound,5000.0
10991,"Balcony,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Landline",3,1,110.0,0,5,Nasr City,Not in Compound,600000.0
10992,No,2,2,96.0,0,1,Madinaty,Madinaty,1150000.0
10993,No,3,2,160.0,0,3,New Cairo - El Tagamoa,Not in Compound,1450000.0
10994,"Balcony,Built in Kitchen Appliances,Covered Parking,Pets Allowed,Private Garden,Security,Pool,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,3,158.0,0,0,Madinaty,Madinaty,2450000.0
10995,"Balcony,Central A/C & heating,Security,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,2,160.0,1,3,Nasr City,Not in Compound,1300000.0
10996,"Built in Kitchen Appliances,Central A/C & heating,Electricity Meter,Water Meter,Natural Gas,Landline",3,1,120.0,0,0,Nasr City,Not in Compound,850000.0
10997,No,3,2,126.0,0,3,Nasr City,Not in Compound,900000.0
10998,No,2,1,110.0,0,0,Rehab City,Not in Compound,1300000.0
10999,No,2,1,65.0,0,1,Rehab City,Not in Compound,900000.0
11000,No,3,1,140.0,0,4,Nasr City,Not in Compound,850000.0
11001,No,2,1,110.0,0,4,Nasr City,Not in Compound,700000.0
11002,No,3,2,220.0,0,8,Nasr City,Not in Compound,1000000.0
11004,"Balcony,Built in Kitchen Appliances,Electricity Meter,Natural Gas,Elevator",2,2,144.0,1,10,Maadi,Not in Compound,1200000.0
11005,"Balcony,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,2,250.0,0,3,Nasr City,Not in Compound,2000000.0
11006,No,2,1,65.0,0,3,Zamalek,Not in Compound,260000.0
11007,"Electricity Meter,Water Meter,Elevator",2,1,75.0,0,4,Ain Shams,Not in Compound,250000.0
11008,Balcony,2,1,54.0,0,3,Mokattam,Not in Compound,250000.0
11009,"Electricity Meter,Landline",3,2,200.0,0,4,New Cairo - El Tagamoa,Not in Compound,1200000.0
11010,"Balcony,Electricity Meter,Natural Gas,Landline",3,1,125.0,0,2,Ain Shams,Not in Compound,520000.0
11011,No,3,3,175.0,0,4,Rehab City,Madinaty,2050000.0
11012,"Security,Electricity Meter,Landline,Elevator",3,2,165.0,0,8,Nasr City,Not in Compound,1000500.0
11013,No,2,1,63.0,0,5,Obour City,Not in Compound,260000.0
11015,"Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,1,130.0,0,5,Nasr City,Not in Compound,900000.0
11016,No,2,1,90.0,0,0,Rehab City,Not in Compound,1300000.0
11017,"Balcony,Covered Parking,Security,Electricity Meter,Water Meter,Natural Gas,Elevator",3,3,160.0,0,4,Rehab City,Rehab City,2400000.0
11018,"Balcony,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Elevator",2,1,99.0,0,3,Rehab City,Not in Compound,1500000.0
11019,No,3,3,180.0,0,4,Rehab City,Not in Compound,2800000.0
11021,"Balcony,Built in Kitchen Appliances,Security,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",2,1,65.0,0,3,Madinaty,Madinaty,880000.0
11022,"Balcony,Security,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",2,2,130.0,0,2,Waili,Not in Compound,1300000.0
11023,"Balcony,Electricity Meter,Natural Gas,Landline,Elevator",3,1,135.0,0,5,Hadayek Helwan,Not in Compound,650000.0
11025,"Balcony,Security,Electricity Meter,Water Meter,Natural Gas,Landline",3,1,101.0,0,0,New Cairo - El Tagamoa,Rehab City,1400000.0
11027,"Balcony,Built in Kitchen Appliances,Pets Allowed,Security,Electricity Meter,Water Meter,Natural Gas,Elevator",4,3,230.0,0,1,Madinaty,Madinaty,2500000.0
11028,"Balcony,Covered Parking,Security,Electricity Meter,Water Meter,Natural Gas,Elevator",3,3,160.0,0,4,Rehab City,Rehab City,2400000.0
11029,"Balcony,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Elevator",2,1,99.0,0,3,Rehab City,Not in Compound,1500000.0
11030,No,3,3,180.0,0,4,Rehab City,Not in Compound,2800000.0
11031,Elevator,3,1,100.0,0,5,Hadayek Helwan,Not in Compound,350000.0
11033,"Electricity Meter,Natural Gas",2,1,150.0,1,1,Nasr City,Not in Compound,1600000.0
11034,"Balcony,Security,Pets Allowed,Electricity Meter,Water Meter,Landline,Elevator",3,1,155.0,0,8,Gesr Al Suez,Not in Compound,490000.0
11035,"Balcony,Electricity Meter,Natural Gas,Landline",3,2,176.0,0,2,15 May City,Not in Compound,1150000.0
11036,"Balcony,Security,Electricity Meter,Water Meter,Elevator",3,2,120.0,0,10,Marg,Not in Compound,300000.0
11037,"Balcony,Security,Electricity Meter,Water Meter,Natural Gas,Landline",3,1,96.0,0,2,Nasr City,Not in Compound,570000.0
11038,No,2,1,63.0,0,4,Shorouk City,Not in Compound,28500.0
11040,"Landline,Elevator,Natural Gas,Water Meter,Electricity Meter,Balcony",3,2,173.0,0,11,New Cairo - El Tagamoa,Not in Compound,850000.0
11041,"Balcony,Built in Kitchen Appliances,Pets Allowed,Water Meter,Landline,Elevator",2,1,135.0,0,10,New Cairo - El Tagamoa,Not in Compound,370000.0
11044,"Balcony,Electricity Meter,Water Meter,Natural Gas",2,1,65.0,0,3,New Cairo - El Tagamoa,Not in Compound,380000.0
11045,"Balcony,Security,Covered Parking,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,3,162.0,0,2,Rehab City,Not in Compound,2350000.0
11046,No,3,3,220.0,0,7,Nasr City,Not in Compound,1800000.0
11047,Balcony,2,1,63.0,0,0,Shorouk City,Not in Compound,305000.0
11049,"Covered Parking,Electricity Meter,Water Meter,Natural Gas,Landline",2,1,100.0,1,2,Mokattam,Not in Compound,750000.0
11050,Balcony,3,1,90.0,0,0,Obour City,Not in Compound,220000.0
11051,"Balcony,Covered Parking,Pets Allowed,Security,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,3,178.0,0,4,Rehab City,Not in Compound,2000000.0
11052,No,3,3,249.0,0,5,Rehab City,Not in Compound,3250000.0
11053,"Security,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Landline",3,2,157.0,0,2,Rehab City,Rehab City,2650000.0
11054,"Balcony,Security,Electricity Meter,Water Meter,Elevator",3,2,128.0,0,0,Madinaty,Not in Compound,1300000.0
11055,"Private Garden,Security,Covered Parking,Pets Allowed",3,2,109.0,0,0,Madinaty,Madinaty,1400000.0
11056,"Private Garden,Central A/C & heating,Security,Covered Parking,Maids Room,Pets Allowed,Pool,Electricity Meter,Natural Gas,Landline,Elevator",3,2,124.0,0,3,Madinaty,Not in Compound,1600000.0
11057,"Electricity Meter,Water Meter,Natural Gas,Landline",2,1,63.0,0,6,Ain Shams,Not in Compound,185000.0
11059,Maids Room,3,2,110.0,0,9,Ain Shams,VGK,320000.0
11060,"Balcony,Built in Kitchen Appliances,Central A/C & heating,Covered Parking,Electricity Meter",2,2,126.0,1,4,Maadi,Not in Compound,1600000.0
11061,No,2,1,80.0,0,3,Downtown Cairo,Not in Compound,270000.0
11062,No,4,3,200.0,0,4,Mokattam,Not in Compound,1400000.0
11063,"Balcony,Security,Electricity Meter,Elevator",3,3,185.0,0,8,Mokattam,Not in Compound,1100000.0
11064,Balcony,2,1,100.0,0,1,Badr City,Not in Compound,190000.0
11065,"Balcony,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",2,1,90.0,0,4,Rehab City,Not in Compound,1300000.0
11066,"Balcony,Built in Kitchen Appliances,Private Garden,Central A/C & heating,Security,Covered Parking,Maids Room,Pets Allowed,Pool,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,2,131.0,0,4,Madinaty,Not in Compound,1600000.0
11067,"Balcony,Built in Kitchen Appliances,Private Garden,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,2,200.0,0,4,Sheraton,Not in Compound,1000600.0
11068,Balcony,3,2,175.0,0,2,Heliopolis,Not in Compound,1450000.0
11069,No,3,1,75.0,0,2,Ain Shams,Not in Compound,300000.0
11070,"Security,Pets Allowed,Elevator",3,2,124.0,0,4,Madinaty,Madinaty,1200000.0
11071,No,2,1,120.0,0,5,Ain Shams,Not in Compound,350000.0
11072,"Balcony,Built in Kitchen Appliances,Private Garden,Central A/C & heating,Security,Covered Parking,Maids Room,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",2,1,82.0,0,0,Madinaty,Not in Compound,950000.0
11073,"Balcony,Security",3,3,200.0,0,1,New Cairo - El Tagamoa,Not in Compound,2650000.0
11074,"Balcony,Built in Kitchen Appliances,Central A/C & heating,Covered Parking,Maids Room,Pets Allowed,Security,Water Meter,Natural Gas,Landline,Elevator",3,2,208.0,1,3,Al Manial,Not in Compound,2850000.0
11075,No,2,1,96.0,0,2,Nasr City,Not in Compound,700000.0
11076,No,2,2,105.0,1,4,Maadi,Not in Compound,630000.0
11077,"Balcony,Covered Parking,Pets Allowed,Security,Electricity Meter,Water Meter,Elevator",3,3,160.0,0,2,Madinaty,Madinaty,2000000.0
11078,"Balcony,Security,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,3,250.0,0,8,Nasr City,Not in Compound,2100000.0
11080,"Balcony,Pets Allowed,Security",2,2,134.0,0,3,New Cairo - El Tagamoa,Mountain View Hyde Park,1550000.0
11081,"Private Garden,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Landline",2,1,100.0,0,0,New Cairo - El Tagamoa,Not in Compound,1000000.0
11082,No,3,2,160.0,0,2,Obour City,Not in Compound,920000.0
11083,No,2,1,100.0,0,6,Ain Shams,Not in Compound,330000.0
11084,"Balcony,Covered Parking,Pets Allowed,Security,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,2,103.0,0,4,Rehab City,Not in Compound,1200000.0
11085,"Balcony,Electricity Meter,Natural Gas,Landline,Elevator",3,1,118.0,0,4,Nasr City,Not in Compound,950000.0
11086,"Security,Pets Allowed,Elevator",2,2,96.0,0,3,Madinaty,Madinaty,960000.0
11087,No,3,1,85.0,0,2,Ain Shams,Not in Compound,360000.0
11088,No,3,2,250.0,0,2,Heliopolis,Not in Compound,3000000.0
11089,"Electricity Meter,Natural Gas",1,1,70.0,0,0,Ain Shams,Not in Compound,120000.0
11090,"Balcony,Covered Parking,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Elevator",3,1,130.0,0,10,Helmeyat El Zaytoun,Not in Compound,950000.0
11091,No,3,2,136.0,0,5,Madinaty,Madinaty,1800000.0
11093,No,3,3,175.0,0,4,Madinaty,Madinaty,2050000.0
11094,No,3,1,94.0,0,2,New Cairo - El Tagamoa,Not in Compound,780000.0
11095,"Balcony,Covered Parking,Pets Allowed,Electricity Meter,Water Meter,Elevator",3,3,166.0,0,3,Shorouk City,Not in Compound,700000.0
11096,No,2,1,70.0,0,4,Ain Shams,Not in Compound,300000.0
11097,No,3,3,186.0,0,1,New Cairo - El Tagamoa,Not in Compound,6500.0
11098,"Balcony,Security,Covered Parking,Pets Allowed",3,2,180.0,1,1,Maadi,Not in Compound,1700000.0
11099,"Balcony,Security,Electricity Meter,Water Meter,Natural Gas,Elevator",3,2,139.0,0,5,Madinaty,Not in Compound,1600000.0
11100,"Balcony,Security,Electricity Meter,Water Meter,Natural Gas",2,1,90.0,0,2,Rehab City,Not in Compound,1350000.0
11101,No,2,1,90.0,0,8,Ain Shams,Not in Compound,280000.0
11102,No,3,3,160.0,0,4,Rehab City,Not in Compound,2200000.0
11103,"Balcony,Built in Kitchen Appliances,Private Garden,Security,Electricity Meter,Natural Gas,Elevator",3,1,120.0,1,5,Shorouk City,Not in Compound,1200000.0
11104,No,3,2,124.0,0,3,Helmeyat El Zaytoun,Not in Compound,1000000.0
11105,No,3,1,150.0,0,9,Ain Shams,Not in Compound,360000.0
11106,"Balcony,Built in Kitchen Appliances,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",2,1,120.0,0,5,Heliopolis,Not in Compound,800000.0
11107,No,3,1,120.0,0,1,Nasr City,Not in Compound,1100000.0
11108,No,3,1,130.0,0,1,Nasr City,Not in Compound,850000.0
11109,"Balcony,Built in Kitchen Appliances,Pets Allowed,Private Garden,Security,Electricity Meter,Water Meter,Landline,Elevator",2,1,95.0,0,0,Madinaty,Madinaty,1450000.0
11110,No,2,2,110.0,0,4,Nasr City,Not in Compound,1000000.0
11111,No,3,2,120.0,0,2,Ain Shams,Not in Compound,450000.0
11112,No,2,1,65.0,0,2,Downtown Cairo,Not in Compound,275000.0
11113,"Electricity Meter,Natural Gas",2,1,57.0,0,6,Helwan,Not in Compound,90000.0
11115,No,2,1,100.0,0,4,Ain Shams,Not in Compound,420000.0
11116,No,3,3,165.0,0,1,Nasr City,Not in Compound,1250000.0
11117,"Balcony,Electricity Meter,Water Meter",3,3,200.0,0,1,Obour City,Not in Compound,1200000.0
11118,"Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",2,1,110.0,0,3,New Cairo - El Tagamoa,Not in Compound,1050000.0
11119,"Balcony,Private Garden,Covered Parking,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",4,2,220.0,0,0,Mokattam,Not in Compound,1600000.0
11120,No,2,1,100.0,0,3,Maadi,Not in Compound,530000.0
11121,"Balcony,Security,Electricity Meter,Water Meter,Elevator",3,2,168.0,0,1,Madinaty,Not in Compound,2650000.0
11122,No,3,1,125.0,0,4,Downtown Cairo,Not in Compound,1100000.0
11123,"Electricity Meter,Natural Gas,Landline,Elevator",2,1,240.0,0,3,Nasr City,Not in Compound,1600000.0
11124,"Balcony,Security,Covered Parking,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",2,2,160.0,0,5,Nasr City,Not in Compound,1500000.0
11125,"Balcony,Covered Parking,Electricity Meter,Water Meter,Natural Gas,Elevator",3,2,240.0,0,10,Nasr City,Not in Compound,1900000.0
11126,Built in Kitchen Appliances,1,1,38.0,1,0,Nasr City,Not in Compound,590000.0
11127,No,3,2,220.0,0,0,New Nozha,Not in Compound,1850000.0
11128,"Balcony,Elevator",3,3,180.0,0,3,Rehab City,Rehab City,1600000.0
11129,"Security,Covered Parking,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator,Balcony",3,2,195.0,0,3,Helwan,Not in Compound,900000.0
11130,"Balcony,Central A/C & heating,Security,Covered Parking,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,2,155.0,0,3,Nasr City,Not in Compound,1200000.0
11131,No,3,1,118.0,0,3,New Cairo - El Tagamoa,Not in Compound,352000.0
11132,"Balcony,Covered Parking,Pets Allowed,Security,Elevator",3,3,178.0,0,6,Madinaty,Madinaty,2000000.0
11133,"Balcony,Covered Parking,Pets Allowed,Security,Electricity Meter,Water Meter,Landline,Elevator",3,3,218.0,0,3,Shorouk City,Not in Compound,995000.0
11134,Built in Kitchen Appliances,3,2,150.0,0,2,Hadayek Helwan,Not in Compound,500000.0
11135,No,3,2,180.0,0,1,Nasr City,Not in Compound,1250000.0
11136,No,3,1,100.0,0,5,Ain Shams,Not in Compound,400000.0
11137,"Balcony,Elevator",3,2,120.0,0,3,Helmeyat El Zaytoun,Not in Compound,475000.0
11138,No,3,2,150.0,0,4,Nasr City,Not in Compound,1250000.0
11139,"Electricity Meter,Water Meter,Natural Gas",3,3,230.0,0,2,Shorouk City,Not in Compound,1600000.0
11140,"Balcony,Pets Allowed,Security,Elevator",3,2,168.0,0,1,Madinaty,Madinaty,2650000.0
11142,No,3,2,170.0,0,4,Nasr City,Not in Compound,1150000.0
11143,No,3,3,166.0,0,5,Madinaty,Not in Compound,1900000.0
11144,"Water Meter,Landline",3,1,120.0,0,1,Ain Shams,Not in Compound,550000.0
11145,"Electricity Meter,Water Meter,Natural Gas,Elevator",3,2,153.0,1,8,Nasr City,Not in Compound,650000.0
11146,No,2,1,86.0,0,4,Shorouk City,Not in Compound,420000.0
11147,"Balcony,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,2,140.0,0,1,New Cairo - El Tagamoa,Not in Compound,1600000.0
11148,"Balcony,Built in Kitchen Appliances,Security,Electricity Meter,Water Meter,Natural Gas,Elevator",3,3,175.0,0,3,Madinaty,Madinaty,2350000.0
11150,"Balcony,Covered Parking,Pets Allowed,Elevator",3,2,214.0,0,3,New Cairo - El Tagamoa,Not in Compound,1850000.0
11151,No,2,1,120.0,0,2,Maadi,Not in Compound,450000.0
11152,"Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",2,1,120.0,0,6,Ain Shams,Not in Compound,350000.0
11153,"Balcony,Pets Allowed,Security,Electricity Meter,Water Meter,Elevator",3,2,136.0,0,5,Madinaty,Not in Compound,1750000.0
11154,No,3,2,160.0,0,1,Nasr City,Not in Compound,2050000.0
11155,"Balcony,Pets Allowed,Security,Electricity Meter,Water Meter,Natural Gas,Elevator",3,2,130.0,0,5,Maadi,Not in Compound,2400000.0
11156,No,3,2,146.0,0,2,Downtown Cairo,Not in Compound,1050000.0
11157,No,3,1,100.0,0,0,Obour City,Not in Compound,2000000.0
11158,"Landline,Natural Gas,Water Meter,Electricity Meter",2,1,100.0,0,3,Obour City,Not in Compound,350000.0
11159,"Covered Parking,Security,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,3,180.0,0,10,Nasr City,Not in Compound,1150000.0
11160,No,2,1,107.0,0,0,Madinaty,Not in Compound,1300000.0
11161,"Security,Electricity Meter,Natural Gas,Elevator",3,2,160.0,0,6,Mokattam,Not in Compound,1120000.0
11162,"Balcony,Covered Parking,Electricity Meter,Elevator",3,3,134.0,0,2,New Cairo - El Tagamoa,Not in Compound,1100000.0
11163,No,2,1,70.0,0,5,Badr City,Not in Compound,800.0
11164,"Balcony,Maids Room,Pets Allowed,Private Garden,Security,Pool,Electricity Meter,Water Meter,Elevator",3,3,202.0,0,2,New Cairo - El Tagamoa,Mountain View Hyde Park,2200000.0
11165,"Balcony,Water Meter,Natural Gas,Landline",2,1,70.0,0,11,New Cairo - El Tagamoa,Not in Compound,400000.0
11166,No,2,2,100.0,0,2,Nasr City,Not in Compound,600000.0
11167,No,3,3,155.0,1,1,Rehab City,Rehab City,2050000.0
11168,"Electricity Meter,Water Meter,Landline,Elevator",3,1,85.0,0,1,Maadi,Not in Compound,360000.0
11169,"Electricity Meter,Natural Gas",3,2,168.0,0,1,Mokattam,Not in Compound,750000.0
11170,"Balcony,Covered Parking,Pets Allowed,Security,Pool",2,2,140.0,0,1,New Cairo - El Tagamoa,Stone Residence,1500000.0
11171,No,3,2,210.0,0,3,New Cairo - El Tagamoa,Not in Compound,1800000.0
11172,Security,3,2,135.0,0,1,Madinaty,Madinaty,1500000.0
11173,Electricity Meter,2,1,65.0,0,2,Salam City,Not in Compound,140000.0
11174,No,2,1,100.0,0,10,New Nozha,Not in Compound,140000.0
11175,"Balcony,Built in Kitchen Appliances,Security,Pets Allowed,Pool,Electricity Meter,Water Meter",2,2,150.0,0,2,Nasr City,Not in Compound,1250000.0
11176,"Balcony,Covered Parking,Private Garden,Electricity Meter",4,2,250.0,0,0,Mokattam,Not in Compound,1800000.0
11177,"Balcony,Covered Parking,Pets Allowed,Security,Electricity Meter,Water Meter,Natural Gas,Landline",2,1,90.0,0,0,New Cairo - El Tagamoa,Rehab City,1200000.0
11178,Security,3,2,133.0,0,2,Madinaty,Madinaty,1550000.0
11179,"Balcony,Security,Covered Parking,Pets Allowed,Water Meter,Natural Gas,Elevator",3,3,205.0,0,6,Heliopolis,Not in Compound,2650000.0
11181,"Balcony,Built in Kitchen Appliances,Private Garden,Central A/C & heating,Security,Covered Parking,Maids Room,Pets Allowed,Pool,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,3,211.0,0,1,New Cairo - El Tagamoa,Hyde Park New Cairo,2600000.0
11182,"Balcony,Security,Electricity Meter,Natural Gas,Landline,Elevator",2,1,100.0,0,9,Heliopolis,Not in Compound,900000.0
11183,"Balcony,Built in Kitchen Appliances,Security,Covered Parking,Maids Room,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,2,165.0,0,4,Nasr City,Not in Compound,1250000.0
11184,"Balcony,Covered Parking,Pets Allowed,Private Garden,Security,Electricity Meter,Water Meter,Landline,Elevator",3,2,123.0,0,0,Madinaty,Madinaty,1750000.0
11185,"Balcony,Covered Parking,Security,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,2,190.0,0,6,Nasr City,Not in Compound,1350000.0
11186,No,3,3,200.0,0,4,Rehab City,Not in Compound,2600000.0
11187,"Balcony,Covered Parking,Private Garden,Electricity Meter",4,2,250.0,0,0,Mokattam,Not in Compound,1800000.0
11188,"Balcony,Covered Parking,Pets Allowed,Security,Electricity Meter,Water Meter,Natural Gas,Landline",2,1,90.0,0,0,New Cairo - El Tagamoa,Rehab City,1200000.0
11189,Security,3,2,133.0,0,2,Madinaty,Madinaty,1550000.0
11190,No,2,1,75.0,0,2,Shubra,Not in Compound,300000.0
11191,"Balcony,Security,Electricity Meter,Water Meter,Natural Gas,Landline",2,1,86.0,0,2,Nasr City,Not in Compound,500000.0
11193,"Balcony,Built in Kitchen Appliances,Private Garden,Central A/C & heating,Security,Covered Parking,Maids Room,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",2,1,107.0,0,3,Madinaty,Not in Compound,1250000.0
11194,No,2,1,107.0,0,5,Madinaty,Not in Compound,1200000.0
11195,Security,3,3,158.0,0,0,Madinaty,Madinaty,2300000.0
11197,"Balcony,Private Garden,Security,Pets Allowed,Electricity Meter,Water Meter",2,1,87.0,0,0,Madinaty,Madinaty,1250000.0
11198,"Balcony,Security,Covered Parking,Pets Allowed",2,1,70.0,0,6,Ezbet El Nakhl,Not in Compound,125000.0
11199,No,3,2,190.0,0,1,New Cairo - El Tagamoa,Not in Compound,2050000.0
11200,"Balcony,Electricity Meter,Natural Gas",2,1,96.0,0,2,Zahraa Al Maadi,Not in Compound,420000.0
11201,"Private Garden,Security,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,3,158.0,0,0,Madinaty,Madinaty,2300000.0
11202,"Balcony,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",2,1,80.0,0,2,Helmeyat El Zaytoun,Not in Compound,450000.0
11203,"Balcony,Private Garden,Security,Pets Allowed,Electricity Meter,Water Meter,Natural Gas",3,2,108.0,0,0,Madinaty,Madinaty,1500000.0
11204,"Balcony,Central A/C & heating,Electricity Meter,Water Meter,Elevator",3,2,175.0,0,3,Obour City,Not in Compound,1001.0
11205,Balcony,2,1,70.0,0,4,Badr City,Not in Compound,120000.0
11206,"Security,Covered Parking,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,2,165.0,0,2,New Cairo - El Tagamoa,Not in Compound,1500000.0
11207,"Balcony,Maids Room,Pets Allowed,Security,Pool,Water Meter,Elevator",3,3,202.0,0,2,New Cairo - El Tagamoa,Mountain View Hyde Park,2200000.0
11208,"Electricity Meter,Elevator",2,2,90.0,0,10,Sheraton,Not in Compound,550000.0
11209,"Balcony,Covered Parking,Security,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,2,195.0,0,1,Zahraa Al Maadi,Not in Compound,7750.0
11210,No,2,1,130.0,1,8,Nasr City,Not in Compound,1200000.0
11211,No,2,1,100.0,0,8,Ain Shams,Not in Compound,220000.0
11213,"Security,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,3,220.0,0,6,Nasr City,Not in Compound,2000000.0
11214,"Balcony,Pets Allowed,Security,Pool,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",2,2,166.0,0,4,New Cairo - El Tagamoa,Mountain View Hyde Park,1950000.0
11215,"Balcony,Security",3,1,115.0,0,7,Nasr City,Not in Compound,700000.0
11217,No,3,2,135.0,0,3,Madinaty,Not in Compound,1480000.0
11218,No,2,2,150.0,0,1,New Cairo - El Tagamoa,Not in Compound,1600000.0
11219,"Balcony,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,1,150.0,0,9,Maadi,Not in Compound,800000.0
11220,"Balcony,Covered Parking,Electricity Meter,Water Meter,Natural Gas,Landline",2,1,70.0,0,2,New Cairo - El Tagamoa,Not in Compound,800.0
11221,"Landline,Natural Gas,Water Meter,Electricity Meter,Security,Central A/C & heating,Built in Kitchen Appliances,Balcony,Covered Parking",3,2,167.0,1,4,Heliopolis,Not in Compound,1500000.0
11222,"Security,Water Meter,Natural Gas,Landline,Elevator",2,2,141.0,0,3,New Cairo - El Tagamoa,Mountain View Hyde Park,1550000.0
11223,"Electricity Meter,Water Meter,Elevator",2,1,100.0,0,6,Helmeyat El Zaytoun,Not in Compound,550000.0
11224,"Electricity Meter,Natural Gas",1,1,80.0,0,0,Zawya al-Hamra,Not in Compound,110000.0
11225,Pets Allowed,3,2,131.0,0,1,Madinaty,Not in Compound,1450000.0
11226,No,3,2,160.0,0,1,Obour City,Not in Compound,800000.0
11227,"Balcony,Built in Kitchen Appliances,Central A/C & heating,Security,Electricity Meter,Water Meter,Natural Gas,Landline",2,1,90.0,0,4,Rehab City,Rehab City,1100000.0
11228,"Balcony,Security,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,2,200.0,0,9,Maadi,Not in Compound,2750000.0
11229,No,2,1,75.0,0,9,Maadi,Not in Compound,730000.0
11231,"Balcony,Pets Allowed,Private Garden,Security,Pool,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,3,200.0,0,0,New Cairo - El Tagamoa,Mountain View Hyde Park,2500000.0
11233,"Balcony,Pets Allowed,Security,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,2,130.0,0,2,New Cairo - El Tagamoa,Not in Compound,1190000.0
11234,"Balcony,Built in Kitchen Appliances,Security,Electricity Meter,Water Meter,Natural Gas,Landline",3,1,160.0,0,3,Nasr City,Not in Compound,1350000.0
11235,No,2,1,140.0,0,4,Helwan,Not in Compound,800000.0
