,Amenities,Bedrooms,Bathrooms,Area,Furnished,Level,location,Compound,price
9097,No,3,2,145.0,0,9,Zahraa Al Maadi,Not in Compound,850000.0
9098,"Balcony,Natural Gas",3,1,97.0,0,4,Badr City,Not in Compound,225000.0
9099,No,3,1,95.0,0,6,Ain Shams,Not in Compound,300000.0
9100,"Balcony,Security,Covered Parking,Pets Allowed,Electricity Meter,Water Meter,Landline,Elevator",3,2,143.0,0,2,Madinaty,Madinaty,1700000.0
9101,"Balcony,Security,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",2,2,91.0,0,0,Madinaty,Not in Compound,930000.0
9102,"Balcony,Electricity Meter,Water Meter,Natural Gas,Elevator",3,1,120.0,0,2,Marg,Not in Compound,520000.0
9103,"Balcony,Security,Electricity Meter,Elevator",3,1,120.0,0,10,Marg,Not in Compound,380000.0
9104,"Electricity Meter,Water Meter,Elevator",2,1,75.0,0,2,Shorouk City,Not in Compound,250000.0
9105,"Security,Covered Parking,Maids Room,Electricity Meter,Water Meter,Landline,Elevator",3,1,145.0,0,10,Nasr City,Not in Compound,760000.0
9106,"Balcony,Electricity Meter,Water Meter,Natural Gas",3,1,70.0,0,2,Gesr Al Suez,Not in Compound,225000.0
9107,"Security,Covered Parking,Water Meter,Landline,Elevator",2,1,120.0,0,2,Helwan,Not in Compound,450000.0
9109,No,3,1,90.0,0,10,Ain Shams,Not in Compound,350000.0
9111,"Balcony,Electricity Meter,Water Meter,Natural Gas",2,1,80.0,0,1,Obour City,Not in Compound,325000.0
9112,"Balcony,Covered Parking,Security,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,3,175.0,0,3,Madinaty,Madinaty,2200000.0
9113,No,3,2,150.0,0,9,Downtown Cairo,Not in Compound,220000.0
9116,"Built in Kitchen Appliances,Central A/C & heating,Security,Covered Parking,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",2,1,66.0,1,1,Madinaty,Madinaty,950000.0
9117,"Balcony,Built in Kitchen Appliances,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Landline,Elevator",3,2,220.0,0,6,Nasr City,Not in Compound,1600000.0
9118,"Balcony,Covered Parking,Pets Allowed,Security,Elevator",3,3,178.0,0,6,Madinaty,Madinaty,2000000.0
