Amenities,Bedrooms,Bathrooms,Area (m²),Furnished,Level,Ad Type,Type,Payment Option,price,title,location,Compound
,3,3,230,No,3,For Sale,Penthouse,Cash,"880,000 EGPnegotiable",دوبلكس (بنتهاوس) بجاردينيا هايتس,New Cairo - El Tagamoa,Abu Al-Hool
,3,1,120,,2,For Sale,Apartment,,"900,000 EGP",جاردينيا ستى,Nasr City,Abu Al-Hool
,3,1,120,Yes,3,For Sale,Apartment,Cash or Installment,"900,000 EGP",Gardenia city,Nasr City,Abu Al-Hool
"Balcony,Electricity Meter,Water Meter,Landline",2,1,125,,3,For Sale,Apartment,Cash,"650,000 EGP",شقة 125متر بالتجمع الخامس فيو متميز شارع ر...,New Cairo - El Tagamoa,Abu Al-Hool
"Balcony,Private Garden,Pool,Elevator",3,1,135,No,4,For Sale,Apartment,Cash or Installment,"250,000 EGP",بالتجمع إستلم فورا شقه ١٣٥م بمقدم ٢٥٠ ألف ...,New Cairo - El Tagamoa,Abu Al-Hool
"Balcony,Private Garden,Electricity Meter",3,2,230,No,Ground,For Sale,Duplex,Cash,"950,000 EGP",شقة دوبلكس للبيع استلام فورى بالعداد 230م ...,New Cairo - El Tagamoa,Abu Al-Hool
,3,1,120,No,2,For Sale,Apartment,Cash or Installment,"900,000 EGP",عمارات – ستاند ألون – توين هاوس )كاملة الت...,New Cairo - El Tagamoa,Abu Al-Hool
"Balcony,Private Garden,Security,Covered Parking,Pets Allowed,Pool,Electricity Meter,Water Meter,Natural Gas,Elevator",3,1,120,No,3,For Sale,Apartment,Installment,"900,000 EGP",جاردينا سيتي,New Cairo - El Tagamoa,Abu Al-Hool
,3,2,210,,3,For Sale,Apartment,,"725,000 EGP",شقه للبيع جاردينيا هايتس التجمع الخامس دور...,New Cairo - El Tagamoa,Abu Al-Hool
,3,2,130,No,6,For Sale,Apartment,Cash,"990,000 EGP",شقه للبيع في جاردينيا,New Cairo - El Tagamoa,Abu Al-Hool
,2,1,130,,2,For Sale,Apartment,Cash,"990,000 EGP",شقه للبيع لقطه في جاردينيا 2,New Cairo - El Tagamoa,Abu Al-Hool
"Balcony,Private Garden,Electricity Meter,Water Meter,Natural Gas,Elevator",3,2,190,No,3,For Sale,Apartment,Cash or Installment,"1,080,000 EGP",شقتك استلام فوري في التجمع الخامس جاردنيا ...,New Cairo - El Tagamoa,Abu Al-Hool
,4,3,400,No,3,For Sale,Penthouse,Cash or Installment,"1,950,000 EGPnegotiable",لعشاق البنتاهاوس بحرى فيو مفتوح,New Cairo - El Tagamoa,Abu Al-Hool
,2,1,120,No,1,For Sale,Apartment,Cash or Installment,"6,050 EGP",جاردينيا هايتس التجمع الخامس متفوتش الفرصة...,New Cairo - El Tagamoa,Abu Al-Hool
,2,1,95,No,2,For Sale,Apartment,Cash or Installment,"522,500 EGP",شقة مميزة للبيع مساحة 95 متر في جاردينيا ه...,New Cairo - El Tagamoa,Abu Al-Hool
,3,2,120,No,3,For Sale,Apartment,Cash or Installment,"7,550 EGP",كمبوند جاردينيا سيتي متكامل الخدمات662 فدا...,New Cairo - El Tagamoa,Abu Al-Hool
"Pets Allowed,Electricity Meter,Water Meter,Landline,Elevator",2,1,110,,1,For Sale,Apartment,Installment,"500,000 EGPnegotiable",شقتك فى جاردينيا هايتس 1 ب 500 الف فقط وتس...,New Cairo - El Tagamoa,Abu Al-Hool
,2,2,105,,2,For Sale,Apartment,,"750,000 EGP",شقة للبيع بالتجمع 105 متر دور2 تشطيب كامل ...,New Cairo - El Tagamoa,Abu Al-Hool
"Balcony,Electricity Meter,Water Meter,Landline",2,1,130,No,2,For Sale,Apartment,Cash,"1,000,000 EGPnegotiable",ارخص شقة سوبر لوكس بجاردينيا بالتجمع الخام...,New Cairo - El Tagamoa,Abu Al-Hool
Private Garden,4,3,330,No,Ground,For Sale,Duplex,Cash,"1,200,000 EGPnegotiable",دوبلكس في جاردنيا هايتس ٣ ( ابو الهول ٣ سا...,New Cairo - El Tagamoa,Abu Al-Hool
,3,2,205,,2,For Sale,Apartment,,"2,200,000 EGP",للبيع شقة 205متر كمبوند زيزينيا جوار الجام...,New Cairo - El Tagamoa,Abu Al-Hool
,3,2,160,No,2,For Sale,Apartment,Cash or Installment,"425,000 EGP",شقتين استلام فووورى وبالتقسيط من المالك فى...,New Cairo - El Tagamoa,Abu Al-Hool
,2,1,128,,2,For Sale,Apartment,,"1,250,000 EGP",للبيع شقة بكمبوند سكن جوار ماونتن فيو اكسي...,New Cairo - El Tagamoa,Abu Al-Hool
,3,2,220,No,2,For Sale,Apartment,Cash or Installment,"1,300,000 EGP",شقة للبيع تشطيب سوبر لوكس اول سكن بجاردنيا...,New Cairo - El Tagamoa,Abu Al-Hool
"Balcony,Covered Parking,Pets Allowed,Electricity Meter,Water Meter,Natural Gas,Landline",3,2,180,No,Ground,For Sale,Apartment,Cash or Installment,"1,080,000 EGP",استلام فوري مباشرة بدون وسطاء من الشركة ال...,New Cairo - El Tagamoa,Abu Al-Hool
,2,1,122,No,3,For Sale,Apartment,Cash,"930,000 EGP",شقه لقطه سوبر لوكس فى التجمع الخامس فى جار...,New Cairo - El Tagamoa,Abu Al-Hool
Electricity Meter,2,1,115,No,1,For Sale,Apartment,,"65,000,000 EGPnegotiable",جاردينيا1 التجمع الخامس,New Cairo - El Tagamoa,Abu Al-Hool
