brand,model,trim,year,origin,color,options,fuel,gear,drivetrain,cylinders,engine size,condition,kilometer,location,aminities,cabin
Chevrolet,Tahoe,LS,2018,Saudi,Silver,Standard,Gasoline,Automatic,RWD,8,5.3,Used,83082 km,Riyadh,"['Electronic Stability Program', 'Dual Airbag (Driver & Passenger)', 'ABS', 'Brake Assist System', 'Safety belts', 'Traction Control System', ' Rear AC Vents', 'Steering Wheel Controls', 'Cruise Control', 'Front & Rear Power Windows', 'Car Key', 'Power seats', 'Fabric Seats', 'A/C Auto', 'Remote Entry', 'Voice control', 'Rear Central Arm Rest', 'Bluetooth', 'USB Input', 'Power connection', 'Radio', 'Media screen', 'Electrical Mirrors', 'Rim Wheels', 'Rear Parking Sensors', 'Front Fog Lamps', 'Halogen Lamps', 'Window Defroster', 'Front sensors', 'Rear spoiler', 'Rear Fog Lights', 'Daytime Running Lights', 'Side sills', 'Headlight Electronic Adjustment']",
Hyundai,Elantra,GL,2020,Saudi,Silver,Standard,Gasoline,Automatic,FWD,4,2.0,Used,107278 km,Riyadh,"['Traction Control System', 'Dual Airbag (Driver & Passenger)', 'ABS', 'Center Lock', 'Electronic Stability Program', 'Brake Assist System', 'Safety belts', 'Electronic Brakeforce Distribution', 'Manual seats\t', ' Rear AC Vents', 'Steering Wheel Controls', 'Front & Rear Power Windows', 'Fabric Seats', 'Car Key', 'A/C Manual', 'Remote Entry', 'Voice control', 'Rear Central Arm Rest', 'Bluetooth', 'USB Input', 'AUX', 'Power connection', 'Media screen', 'Radio', 'Rear Camera', 'Electrical Mirrors', 'Cover Wheels', 'Rear Parking Sensors', 'Halogen Lamps', 'LED Lamps', 'Window Defroster', 'Side Turn Signals', 'Rear Fog Lights', 'Headlight Electronic Adjustment']",
Ford,Taurus,SEL,2018,Saudi,Red,Half Full,Gasoline,Automatic,FWD,4,2.0,Used,79135 km,Riyadh,"['Dual Airbag (Driver & Passenger)', 'ABS', 'Center Lock', 'Electronic Stability Program', 'Safety belts', 'Electronic Brakeforce Distribution', 'Traction Control System', 'Front & Rear Power Windows', ' Rear AC Vents', 'Fingerprint Ignition', 'Steering Wheel Controls', 'Cruise Control', 'Fabric Seats', 'A/C Manual', 'Remote Entry', 'Voice control', 'Manual seats\t', 'Rear Central Arm Rest', 'Power connection', 'CD player', 'Media screen', 'Radio', 'Rim Wheels', 'Electrical Mirrors', 'Halogen Lamps', 'Window Defroster', 'Rear Fog Lights']",
Chrysler,300,C,2018,Saudi,Silver,Half Full,Gasoline,Automatic,RWD,8,5.7,Used,75000 km,Riyadh,"['Dual Airbag (Driver & Passenger)', 'ABS', 'Center Lock', 'Electronic Stability Program', 'Safety belts', 'Electronic Brakeforce Distribution', 'Traction Control System', 'Sensors control', 'Steering Wheel Controls', 'Cruise Control', 'Front & Rear Power Windows', 'Fabric Seats', 'Remote Entry', 'Power seats', 'Voice control', ' Rear AC Vents', 'Fingerprint Ignition', 'A/C Auto', 'Mouse controller', 'Mirrors (Black)', 'Rear Central Arm Rest', 'Bluetooth', 'USB Input', 'Rear Camera', 'Radio', 'Navigation System', 'Media screen', 'Electrical Mirrors', 'Rim Wheels', 'Rear Parking Sensors', 'Panorama Sunroof', 'Halogen Lamps', 'Window Defroster', 'Front sensors', 'Side Turn Signals', 'Open Trunk Electricity', 'Keyless Entry System', 'Rear Fog Lights', 'Headlight Electronic Adjustment']",
Kia,Rio,LX,2019,Other,Silver,Standard,Gasoline,Automatic,FWD,4,1.4,Used,113785 km,Riyadh,"['Safety belts', 'Dual Airbag (Driver & Passenger)', 'ABS', 'Center Lock', 'Electronic Stability Program', 'Traction Control System', 'Front & Rear Power Windows', 'Fabric Seats', 'Car Key', 'A/C Manual', 'Remote Entry', 'Manual seats\t', 'Power connection', 'Bluetooth', 'USB Input', 'AUX', 'Radio', 'Electrical Mirrors', 'Rim Wheels', 'Halogen Lamps', 'Window Defroster', 'Rear spoiler', 'Rear Fog Lights', 'Headlight Electronic Adjustment']",
Honda,Accord,LX Sport,2019,Other,White,Half Full,Gasoline,Automatic,FWD,4,1.5,Used,119626 km,Riyadh,"['Dual Airbag (Driver & Passenger)', 'ABS', 'Center Lock', 'Electronic Stability Program', 'Safety belts', 'Traction Control System', 'Sensors control', 'Front & Rear Power Windows', ' Rear AC Vents', 'Fingerprint Ignition', 'Steering Wheel Controls', 'Cruise Control', 'A/C Manual', 'Remote Entry', 'Drive Mode', 'Power seats', 'Leather & fabric seats', 'Paddle shift', 'Bluetooth', 'USB Input', 'Power connection', 'Media screen', 'Radio', 'Electrical Mirrors', 'Rim Wheels', 'Rear Parking Sensors', 'Sunroof', 'Halogen Lamps', 'Window Defroster', 'Rear Fog Lights', 'Daytime Running Lights', 'Electrical Fold Outside Mirror']",
Chevrolet,Malibu,LT,2018,Saudi,Black,Half Full,Gasoline,Automatic,FWD,4,2.0,Used,95379 km,Riyadh,"['Dual Airbag (Driver & Passenger)', 'ABS', 'Center Lock', 'Electronic Stability Program', 'Brake Assist System', 'Safety belts', 'Electronic Brakeforce Distribution', 'Traction Control System', 'Sensors control', 'Auto Hold', 'Front & Rear Power Windows', ' Rear AC Vents', 'Fingerprint Ignition', 'Steering Wheel Controls', 'Cruise Control', 'Fabric Seats', 'A/C Manual', 'Remote Entry', 'Voice control', 'Manual seats\t', 'Rear Central Arm Rest', 'Power connection', 'Bluetooth', 'USB Input', 'Media screen', 'Radio', 'Rim Wheels', 'Electrical Mirrors', 'Front Fog Lamps', 'Rear Parking Sensors', 'Halogen Lamps', 'Window Defroster', 'Rear Fog Lights', 'Headlight Electronic Adjustment', 'Sunroof']",
Hyundai,Elantra,GL,2020,Saudi,White,Half Full,Gasoline,Automatic,FWD,4,2.0,Used,95073 km,Riyadh,"['Dual Airbag (Driver & Passenger)', 'ABS', 'Center Lock', 'Electronic Stability Program', 'Safety belts', 'Traction Control System', 'Front & Rear Power Windows', ' Rear AC Vents', 'Steering Wheel Controls', 'Cruise Control', 'Car Key', 'A/C Manual', 'Remote Entry', 'Drive Mode', 'Voice control', 'Manual seats\t', 'Echo', 'Rear Central Arm Rest', 'Bluetooth', 'USB Input', 'Rear Camera', 'AUX', 'Power connection', 'Media screen', 'Radio', 'Electrical Mirrors', 'Rim Wheels', 'Rear Parking Sensors', 'Sunroof', 'Halogen Lamps', 'Window Defroster', 'Side Turn Signals', 'Rear Fog Lights', 'Headlight Electronic Adjustment', 'Electrical Fold Outside Mirror']",
Kia,Optima,LX,2017,Other,another_color,Standard,Gasoline,Automatic,FWD,4,2.0,Used,111427 km,Riyadh,"['Dual Airbag (Driver & Passenger)', 'ABS', 'Center Lock', 'Electronic Stability Program', 'Safety belts', 'Traction Control System', 'Front & Rear Power Windows', ' Rear AC Vents', 'Steering Wheel Controls', 'Fabric Seats', 'A/C Manual', 'Remote Entry', 'Drive Mode', 'Manual seats\t', 'Echo', 'Paddle shift', 'Bluetooth', 'USB Input', 'Power connection', 'Media screen', 'Radio', 'Electrical Mirrors', 'Front Fog Lamps', 'Rim Wheels', 'Halogen Lamps', 'Window Defroster', 'Side Turn Signals', 'Open Trunk Electricity', 'Rear Fog Lights', 'Headlight Electronic Adjustment', 'Electrical Fold Outside Mirror']",
Honda,Civic,lxisp ,2020,Saudi,White,Half Full,Gasoline,CVT,FWD,4,1.6,Used,19082 km,Riyadh,"['Dual Airbag (Driver & Passenger)', 'ABS', 'Center Lock', 'Tire Pressure Monitoring System', 'Electronic Stability Program', 'Safety belts', 'Electronic Brakeforce Distribution', 'Traction Control System', 'Sensors control', 'Front & Rear Power Windows', 'Fingerprint Ignition', 'Steering Wheel Controls', 'Cruise Control', 'Fabric Seats', 'Manual seats\t', 'Rear Central Arm Rest', 'Paddle shift', 'Bluetooth', 'Rear Camera', 'Power connection', 'Media screen', 'Radio', 'Electrical Mirrors', 'Front Fog Lamps', 'Rim Wheels', 'Sunroof', 'Halogen Lamps', 'Window Defroster', 'Side Turn Signals', 'Keyless Entry System', 'Rear Fog Lights', 'Headlight Electronic Adjustment']",
