title,price,location,property_type,bedrooms,bathrooms,area
Own your apartment with a 10% dp  in TRUE.,"
          746,580
              EGP  ","Aal Othman St., 10th District, Nasr City, Cairo",Apartment,3 ,2 ,108 sqm
Apartment for sale 205 meters in Tijan Compound,"
          2,200,000
              EGP  ","Tijan, Zahraa El Maadi, Hay El Maadi, Cairo",Apartment,3 ,3 ,205 sqm
Delivered Apartment at Eastown with installments,"
          2,184,000
              EGP  ","Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,2 ,154 sqm
Apartment 200 m 10% down payment /25% discount,"
          1,736,000
              EGP  ","Castle Landmark, New Capital Compounds, New Capital City, Cairo",Apartment,3 ,4 ,200 sqm
apartment for sale uptown cairo 140SQM,"
          3,600,000
              EGP  ","The Sierras, Uptown Cairo, Mokattam, Cairo",Apartment,2 ,3 ,140 sqm
Apartment in lake view residence rest over 4 years,"
          860,000
              EGP  ","Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,4 ,3 ,262 sqm
Apartment for sale in One Qatamya compound .,"
          1,450,000
              EGP  ","One Kattameya, El Katameya Compounds, El Katameya, New Cairo City, Cairo",Apartment,3 ,2 ,145 sqm
"Last studio 70m Dejoya New Capital, installment10y","
          950,000
              EGP  ","De Joya, New Capital Compounds, New Capital City, Cairo",Apartment,1 ,1 ,70 sqm
Apartment 274m in mountain view hyde park-move now,"
          540,000
              EGP  ","Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,274 sqm
Apartment 125m in Bait Alwatan of the Fifth Avenue,"
          743,000
              EGP  ","Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,1 ,125 sqm
Apartment for sale in zahraa elmaadi 200m .,"
          1,550,000
              EGP  ","Darna, Zahraa El Maadi, Hay El Maadi, Cairo",Apartment,3 ,2 ,200 sqm
Apartment 125m in Bait Alwatan of the Fifth Avenue,"
          743,000
              EGP  ","Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,1 ,125 sqm
Apartment for sale in Grand city compound 215m .,"
          2,300,000
              EGP  ","Grand City, Zahraa El Maadi, Hay El Maadi, Cairo",Apartment,4 ,3 ,215 sqm
Own your apartment with the lowest down payment .,"
          779,580
              EGP  ","Degla Towers, Nasr City Compounds, Nasr City, Cairo",Apartment,3 ,1 ,109 sqm
"Apartment 10Years Installment 260,000 Down Payment","
          2,600,000
              EGP  ","Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,2 ,135 sqm
Apartment 152 m2 for sale in galleria moon valley,"
          1,250,000
              EGP  ","Galleria Moon Valley, South Investors Area, New Cairo City, Cairo",Apartment,3 ,3 ,152 sqm
Apartment for sale in zahraa elmaadi 165m .,"
          1,300,000
              EGP  ","Corniche St., El Mearag City, Zahraa El Maadi, Hay El Maadi, Cairo",Apartment,3 ,2 ,165 sqm
Prime location Apartment with good Price in MVHP,"
          2,250,000
              EGP  ","Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,2 ,199 sqm
Apartment 110m For Sale prime location - New Cairo,"
          760,000
              EGP  ","North Lotus, El Lotus, New Cairo City, Cairo",Apartment,2 ,1 ,110 sqm
Fully finished Apartment with AC's Greenry view,"
          1,271,135
              EGP  ","Fifth Square, North Investors Area, New Cairo City, Cairo",Apartment,3 ,3 ,165 sqm
APARTMENT IN ZED EAST/NEW CAIRO/8YEARS INSTALLMENT,"
          2,000,000
              EGP  ","Zed East, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,1 ,1 ,63 sqm
Apartment upgraded finishing for rent at Mivida,"
          3,400,000
              EGP  ","Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,200 sqm
Apartment for sale in the thirteenth part,"
          1,250,000
              EGP  ","13th Sector, Zahraa El Maadi, Hay El Maadi, Cairo",Apartment,2 ,2 ,170 sqm
Apartment (255) meters for Sale in Eastown Sodic,"
          4,100,000
              EGP  ","Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,4 ,3 ,255 sqm
50% cash discount amazing apartment at sarai,"
          2,622,000
              EGP  ","Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",Apartment,3 ,2 ,182 sqm
Apartment 197m Lowest Price in Lakeview Residence,"
          2,800,000
              EGP  ","Lake View Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,197 sqm
Lowest price apartment 132 M in Cairo Festival City,"
          2,950,000
              EGP  ","Cairo Festival City, North Investors Area, New Cairo City, Cairo",Apartment,2 ,2 ,132 sqm
Own your apartment with a 10% dp  in Castle Landmark,"
          1,920,000
              EGP  ","Castle Landmark, New Capital Compounds, New Capital City, Cairo",Apartment,3 ,2 ,160 sqm
apartment sale or rent maadi cornish fully furnished,"
          2,650,000
              EGP  ","Cornish El Nile St., Maadi, Hay El Maadi, Cairo",Apartment,3 ,2 ,180 sqm
Apartment 160 m in Village gardens Katameya compound,"
          1,600,000
              EGP  ","Village Gardens Katameya, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,2 ,160 sqm
Hot & Prime location Zero Over - 154 Meter Eastown,"
          2,530,000
              EGP  ","Eastown, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,3 ,154 sqm
Apartment |Mivida|Boulevard|installments|Fully Finished,"
          2,614,000
              EGP  ","Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,2 ,167 sqm
Apartment With Opening Kitchen For Sale In Maadi Sarayat,"
          2,200,000
              EGP  ","Sarayat Al Maadi, Hay El Maadi, Cairo",Apartment,3 ,3 ,220 sqm
ground apartment for sale 220m fully finished at uptown cairo,"
          5,555,000
              EGP  ","The Fourteen Golf Residences, Uptown Cairo, Mokattam, Cairo",Apartment,3 ,3 ,220 sqm
Fully Finished Apartment In Patio 7 For Sale Discount Cash 30 %,"
          2,000,000
              EGP  ","El Patio 7, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,2 ,110 sqm
Own your apartment with 10% down payment in Mountain View Hyde Park,"
          2,100,000
              EGP  ","Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,2 ,134 sqm
الأن احجز بالمرحلة التانية من مشروعTRUE بمدينة نصر,"
          703,300
              EGP  ","True, Nasr City Compounds, Nasr City, Cairo",Apartment,3 ,2 ,108 sqm
Apartment for Sale In Madinaty Garden View.,"
          985,000
              EGP  ","Madinaty, Cairo",Apartment,2 ,1 ,107 sqm
Corner Apartment 133m  For Sale In cairo Festival,"
          3,000,000
              EGP  ","Cairo Festival City, North Investors Area, New Cairo City, Cairo",Apartment,2 ,2 ,133 sqm
Apartment for sale first housing 440 m (Aurora),"
          10,000,000
              EGP  ","Aurora, Uptown Cairo, Mokattam, Cairo",Apartment,4 ,4 ,440 sqm
الأن احجز بالمرحلة التانية من مشروعTRUE بمدينة نصر,"
          741,170
              EGP  ","True, Nasr City Compounds, Nasr City, Cairo",Apartment,3 ,2 ,108 sqm
"Book your apartment in the New Administrative Capital, Castle Landmark","
          1,584,400
              EGP  ","Castle Landmark, New Capital Compounds, New Capital City, Cairo",Apartment,3 ,2 ,150 sqm
"Apartment for sale in De Joya, 10% down payment and 10 years installments","
          1,548,750
              EGP  ","De Joya, New Capital Compounds, New Capital City, Cairo",Apartment,3 ,2 ,135 sqm
Your apartment with 10% downpayment and 10 years installments in Castle Landmark.,"
          2,088,000
              EGP  ","Castle Landmark, New Capital Compounds, New Capital City, Cairo",Apartment,3 ,3 ,174 sqm
