title,price,location,property_type,bedrooms,bathrooms,area
بالرحاب للبيع بالفرش والاجهزة شقة 155م تشطيب خاص,"
          2,600,000
              EGP  ","El Rehab Extension, Al Rehab, New Cairo City, Cairo",Apartment,3 ,3 ,155 sqm
شقه بموقع متميز في مصر الجديده على شارع رئيسي,"
          1,750,000
              EGP  ","Abd Al Aziz Fahmy St., Heliopolis Square, El Nozha, Cairo",Apartment,3 ,2 ,180 sqm
شقة للبيع 150 متر في المنطقة التاسعة,"
          985,000
              EGP  ","Dr Ibrahim Nagy St., 9th Zone, Nasr City, Cairo",Apartment,3 ,2 ,150 sqm
شقة فى مدينتى 131 م2 بحري للبيع كاش,"
          1,500,000
              EGP  ","Madinaty, Cairo",Apartment,3 ,2 ,131 sqm
ارخص سعر للمترفي التجمع والعاصمه علي التوالي.,"
          1,406,000
              EGP  ","Riviera, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,190 sqm
شقتك في القاهرة الجديده وسط  المجتمعات الراقية .,"
          1,354,200
              EGP  ","Riviera, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,183 sqm
شقه سوبر لوكس في البنفسج فيلات   --,"
          2,000,000
              EGP  ","V90, North Teseen St., The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,2 ,220 sqm
شقة 195م للبيع بحي بيت الوطن قسط 70 شهر بدون فوائد,"
          1,275,000
              EGP  ","Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,1 ,195 sqm
شقة 185م للبيع بحي بيت الوطن قسط 70 شهر بدون فوائد,"
          1,145,000
              EGP  ","Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,1 ,185 sqm
شقتك 183م متشطبه ب التجمع بمقدم 200 الف,"
          1,354,200
              EGP  ","Riviera, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,183 sqm
شقة 260م للبيع بحي بيت الوطن قسط 70 شهر بدون فوائد,"
          1,650,000
              EGP  ","Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,1 ,260 sqm
شقة 131م للبيع بموقع مميز بالمرحلة التاسعه بالرحاب,"
          1,900,000
              EGP  ","El Rehab Extension, Al Rehab, New Cairo City, Cairo",Apartment,3 ,2 ,131 sqm
للبيع شقه دورمتكرر في مدينتي b2مساحه 175,"
          2,200,000
              EGP  ","Madinaty, Cairo",Apartment,3 ,3 ,175 sqm
شقة للبيع بسعر مميز ارضي بدون حديقه b7,"
          920,000
              EGP  ","Madinaty, Cairo",Apartment,2 ,1 ,91 sqm
احجز شقه ب التجمع الخامس تشطيب سوبر لوكس,"
          988,000
              EGP  ","Riviera, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,130 sqm
شقة بمدينتي - 136م - للبيع - بموقع مميز,"
          1,650,000
              EGP  ","Madinaty, Cairo",Apartment,3 ,2 ,136 sqm
شقة بالمنيل الروضة للبيع  -  100متر  - تشطيب لوكس,"
          1,000,000
              EGP  ","Al Rawdah St., El Roda, Hay El Manial, Cairo",Apartment,3 ,2 ,100 sqm
فيلا للبيع في مدينتي نموذج 700,"
          4,000,000
              EGP  ","Madinaty, Cairo",Apartment,3 ,3 ,324 sqm
بمقدم 5% وتقسيط على 14 سنه بدون فوائد امتلك فيلاك,"
          330,000
              EGP  ","Al Burouj Compound, El Shorouk Compounds, Shorouk City, Cairo",Apartment,3 ,4 ,373 sqm
شقه لقطه للبيع 165متر على وايد جاردن اول سكن     .,"
          1,650,000
              EGP  ","Madinaty, Cairo",Apartment,3 ,3 ,165 sqm
ميد تاون سكاى العاصمه  Midtown Sky New Capital,"
          990,000
              EGP  ","Midtown Sky, New Capital Compounds, New Capital City, Cairo",Apartment,2 ,1 ,90 sqm
امتلك وحدتك السكنية فى افضل مكان فى العاصمة,"
          1,481,250
              EGP  ","De Joya, New Capital Compounds, New Capital City, Cairo",Apartment,3 ,2 ,135 sqm
شقة للبيع بالرحاب المرحلة الثانية ارضي بحديقة,"
          2,200,000
              EGP  ","Ali Bin Zain Al Abideen St., Rehab City Second Phase, Al Rehab, New Cairo City, Cairo",Apartment,3 ,3 ,136 sqm
للبيع بالرحاب شقه أرضي بحديقه 119م بحديقه 70م,"
          2,050,000
              EGP  ","El Rehab Extension, Al Rehab, New Cairo City, Cairo",Apartment,3 ,3 ,119 sqm
فرصه للبيع بالرحاب 123م تشطيب خاص تطل على حديقه,"
          1,800,000
              EGP  ","El Rehab Extension, Al Rehab, New Cairo City, Cairo",Apartment,3 ,2 ,123 sqm
شقق للبيع فى ارقى كمبوند فى العاصمة الادارية midtown sky,"
          1,540,000
              EGP  ","Midtown Sky, New Capital Compounds, New Capital City, Cairo",Apartment,2 ,1 ,140 sqm
شقة للـبيع - كاش  بمدينتي 116 متر في B11,"
          1,400,000
              EGP  ","Madinaty, Cairo",Apartment,3 ,2 ,116 sqm
لعشاق الاستثمار السكني كمبوند ريفيرا افضل الاسعار,"
          888,000
              EGP  ","Riviera, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,3 ,120 sqm
شقة للبيع فى مدينتى 200متر وايد جاردن بانوراما,"
          2,190,000
              EGP  ","Madinaty, Cairo",Apartment,4 ,3 ,200 sqm
شقه 185م فيو جاردن للبيع فسي ذا سكوير,"
          2,400,000
              EGP  ","The Square, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,185 sqm
للبيع بمدينتى شقة ٢٠٠م بسعر لقطة,"
          2,450,000
              EGP  ","Madinaty, Cairo",Apartment,4 ,3 ,200 sqm
شقه 100م بحديقه 56م للبيع بالرحاب بسعر مغري,"
          1,600,000
              EGP  ","El Rehab Extension, Al Rehab, New Cairo City, Cairo",Apartment,2 ,1 ,100 sqm
شقة للبيع بالرحاب مساحة 162م بسعر لقطة,"
          2,050,000
              EGP  ","El Rehab Extension, Al Rehab, New Cairo City, Cairo",Apartment,3 ,3 ,162 sqm
بـ0% مقدم أمتلك شقتك 175م في ذا ايقون كمبوند,"
          1,890,000
              EGP  ","Al Andalus El Gedida, Al Andalus District, New Cairo City, Cairo",Apartment,3 ,2 ,175 sqm
للبيع شقة في أرقى موقع م نصر بالقرب من حديقة الطفل,"
          1,280,000
              EGP  ","Moez Al Dawla St., 6th Zone, Nasr City, Cairo",Apartment,2 ,2 ,160 sqm
تملك 89 متر في اجمل مراحل مدينتي شقة لقـــــطة ...,"
          950,000
              EGP  ","Madinaty, Cairo",Apartment,2 ,2 ,90 sqm
امتلك شقتك فورى بكمبوند Galleria بمقدم20% فقط,"
          2,556,400
              EGP  ","Galleria Moon Valley, South Investors Area, New Cairo City, Cairo",Apartment,2 ,2 ,125 sqm
apartment for sale في العاصمة الادارية تشطيب كامل,"
          166,000
              EGP  ","Town Gate, New Capital Compounds, New Capital City, Cairo",Apartment,3 ,2 ,155 sqm
شقة ارضي 136 م مع حديقة 55 م بقسط علي 10 سنوات,"
          1,512,000
              EGP  ","De Joya, New Capital Compounds, New Capital City, Cairo",Apartment,3 ,2 ,136 sqm
شقة لقطعة للبيع بجوار الجامعة الامريكية,"
          1,350,000
              EGP  ","La Vie, South Investors Area, New Cairo City, Cairo",Apartment,3 ,2 ,185 sqm
شقه مميزه واجهه بالكامل باللوتس تقسيط علي 6 سنوات,"
          1,675,000
              EGP  ","South Lotus, El Lotus, New Cairo City, Cairo",Apartment,3 ,3 ,199 sqm
شقة 143م للبيع فى مدينتى B 8 بسعر مميز جاردن فيو,"
          1,775,000
              EGP  ","Madinaty, Cairo",Apartment,3 ,2 ,143 sqm
احجز فى كمبوند جاديا الشركة السعودية بسعر مميز .,"
          2,347,285
              EGP  ","Al Riyadh Secon, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,2 ,125 sqm
شقه دبل فيس بموقع متميز بشريط المدارس تقسيط 3سنوات,"
          1,350,000
              EGP  ","2nd Neighborhood, 2nd District West, Shorouk City, Cairo",Apartment,3 ,3 ,250 sqm
شقة للبيع فى موقع متميز فى جاردن ستى,"
          4,500,000
              EGP  ","Ahmed Ragheb St., Garden City, Cairo",Apartment,3 ,4 ,200 sqm
شقه للبيع ارضي بحديقه خاصه مدينتي بالعفش و الاجهزه,"
          1,500,000
              EGP  ","Madinaty, Cairo",Apartment,2 ,1 ,105 sqm
امتلك وحدة 195 بالعاصمه الاداريه الجديده لاقل سعر,"
          1,482,000
              EGP  ","Town Gate, New Capital Compounds, New Capital City, Cairo",Apartment,3 ,3 ,195 sqm
شقه للبيع الرحاب لقطه المرحله الخامسه رابع ع حديقه,"
          1,500,000
              EGP  ","Ibn Al Haytham St., Rehab City Fifth Phase, Al Rehab, New Cairo City, Cairo",Apartment,2 ,1 ,90 sqm
امتلك شقتك داخل كمبوند الخصوصيه والفخامه ..ريفان,"
          3,000,000
              EGP  ","R7, New Capital City, Cairo",Apartment,3 ,3 ,200 sqm
بمقدم 161.000 جنيه استلم شقتك بالعاصمه الاداريه,"
          161,000
              EGP  ","La Verde, New Capital Compounds, New Capital City, Cairo",Apartment,3 ,2 ,175 sqm
سكاى لوفت لبيع بماونتن فيو اى سيتى التجمع,"
          368,000
              EGP  ","Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,4 ,320 sqm
شقة للبيع 330 م بحي بيت الوطن قرب التسعين قسط80شهر,"
          2,175,000
              EGP  ","Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,2 ,330 sqm
شقة 380 م لليبيع كومباوند ماهيكا بالتجمع قسط85 شهر,"
          1,990,000
              EGP  ","Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,2 ,380 sqm
شقة 360 م للبيع بالتقسيط بحي بيت الوطن قسط 8 سنوات,"
          2,330,000
              EGP  ","Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",Apartment,4 ,2 ,360 sqm
للبيع شقة في مدينتي 133م2 وايد جاردن بالقرب من الخدمات,"
          1,650,000
              EGP  ","Madinaty, Cairo",Apartment,3 ,2 ,133 sqm
فيلا مميزة للبيع في مدينتي F ارض كبيرة تشطيب راقي,"
          12,000,000
              EGP  ","Madinaty, Cairo",Apartment,3 ,2 ,"1,000 sqm"
اقل مقدم وبدون اقساط شهرية لما تحجزعندنا,"
          1,406,000
              EGP  ","Riviera, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,190 sqm
شقة 190م للبيع بحي بيت الوطن قسط 70 شهر بدون فوائد,"
          1,210,000
              EGP  ","Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,1 ,190 sqm
شقه للبيع بالرحاب مرحله تاسعه الرحاب 2,"
          2,000,000
              EGP  ","El Rehab Extension, Al Rehab, New Cairo City, Cairo",Apartment,2 ,2 ,131 sqm
للبيع 140م دور ثالث متكرر خلفي المتر5555ج مقدم25%,"
          777,700
              EGP  ","Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,1 ,140 sqm
شقة 140 متر بمدينتى تقسيط حتى 2025,"
          1,300,000
              EGP  ","Madinaty, Cairo",Apartment,3 ,2 ,140 sqm
فرصه للحصول علي شفه بموقع مميز بالرحاب 169متر,"
          2,700,000
              EGP  ","El Rehab Extension, Al Rehab, New Cairo City, Cairo",Apartment,3 ,3 ,169 sqm
شقة 240م للبيع بحي بيت الوطن قسط 70 شهر بدون فوائد,"
          1,470,000
              EGP  ","Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,1 ,240 sqm
اسكن في ريفيرا  افضل موقع في القاهر الجديده .,"
          1,354,200
              EGP  ","Riviera, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,183 sqm
شقة 181 م في ريفيرا مع تشطيب سوبر لوكس بسعر تحفه,"
          1,339,400
              EGP  ","Riviera, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,3 ,181 sqm
شقتك فيها كل المميزات وبارخص سعر للمتر وتشطيب سوبر لوكس كمان .,"
          1,238,800
              EGP  ","Riviera, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,163 sqm
استلم بعد سنتين استلام كامل بالخدمات في ريفيرا,"
          1,276,800
              EGP  ","Riviera, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,168 sqm
للبيع شقة بمدينتي 106متر بالمرحلة الاولي B1,"
          1,300,000
              EGP  ","Madinaty, Cairo",Apartment,3 ,2 ,106 sqm
ي كمبوند ريفيرا انت مش محتاج تسكن في العاصمه.,"
          1,238,800
              EGP  ","Riviera, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,163 sqm
امتلك شقتك  بخصم 40% واستلم شقتك فوري بقلب التجمع,"
          1,350,000
              EGP  ","Galleria Residences, South Investors Area, New Cairo City, Cairo",Apartment,2 ,2 ,125 sqm
لومعاك 200 الف يبقي شقتك بالتجمع متميزة,"
          1,339,400
              EGP  ","Riviera, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,3 ,181 sqm
ارخص شقة ماونتن فيو هايد بارك كاش غرفتين فيو مميز,"
          1,530,000
              EGP  ","Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,2 ,133 sqm
شقة لقطة فى البنفسج فيلا بالمطبخ والتكيفات فيو رائع,"
          2,750,000
              EGP  ","Ahmed Shawky Axis, El Banafseg 1, El Banafseg, New Cairo City, Cairo",Apartment,3 ,3 ,250 sqm
شقة للبيع في كمبوند OIA العاصنة الاارية في موقع مميز,"
          289,000
              EGP  ","Oia, New Capital Compounds, New Capital City, Cairo",Apartment,3 ,2 ,222 sqm
شقه بالحي الرابع بجوار الفيو زون تقسيط علي 6 سنوات,"
          1,230,000
              EGP  ","Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",Apartment,4 ,3 ,212 sqm
امتلك شقة 165م بالتقسيط ع 8 سنوات في OIA,"
          214,500
              EGP  ","Oia, New Capital Compounds, New Capital City, Cairo",Apartment,3 ,2 ,165 sqm
شقة ف ذا لوفت بخصم 10%وتقسيط على 9سنوات بدون فوائد,"
          2,378,000
              EGP  ","The Loft, New Capital Compounds, New Capital City, Cairo",Apartment,3 ,2 ,205 sqm
اسكن الان في اميز كمبوند في بيت الوطن.,"
          888,000
              EGP  ","Riviera, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,3 ,120 sqm
شقة للبيع ارضى بجاردن ف التجمع الخامس هايد بارك,"
          2,800,000
              EGP  ","Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,2 ,173 sqm
160 م للبيع بالرحاب تشطيبات خاصه موقع مميز اسانسير,"
          2,650,000
              EGP  ","Abou Obaida Ibn Al Garah St., Rehab City Second Phase, Al Rehab, New Cairo City, Cairo",Apartment,3 ,3 ,160 sqm
شقة في مدينتي للبيع  77م في ال B7 ارضي بدون حديقة,"
          900,000
              EGP  ","Madinaty, Cairo",Apartment,2 ,1 ,77 sqm
شقة للبيع ٩٠م بحديقة ٤٠م بسعر لان يتكرر,"
          1,500,000
              EGP  ","El Rehab Extension, Al Rehab, New Cairo City, Cairo",Apartment,2 ,1 ,92 sqm
إمتلك شقة 118متربحديقة بالتجمع بالتقسيط وبأقل مقدم,"
          1,641,000
              EGP  ","Beta Greens, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",Apartment,2 ,1 ,118 sqm
شقق للبيع- بكمبوند- ريتاج سيتي -التجمع الخامس,"
          1,400,000
              EGP  ","Retaj, South Investors Area, New Cairo City, Cairo",Apartment,2 ,2 ,124 sqm
شقة للبيع بحديقة خاصة في مكان مميز بالرحاب       .,"
          3,250,000
              EGP  ","Omar Ibn Al Khattab St., Rehab City Forth Phase, Al Rehab, New Cairo City, Cairo",Apartment,3 ,1 ,179 sqm
دلوقتى هتسكن فى التجمع بمقدم 177 الف فقط,"
          1,184,000
              EGP  ","Riviera, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,160 sqm
احجز وحدتك  باطلاله  جاردن الحي الخامس بيت الوطن.,"
          1,184,000
              EGP  ","Riviera, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,160 sqm
بمقدم 235 الف شقه 160 متر متشطبه بالتكيفات,"
          235,000
              EGP  ","Fifth Square, North Investors Area, New Cairo City, Cairo",Apartment,3 ,2 ,160 sqm
للبيع مدينتىb8 شقة 168متر فيو وايد جاردن,"
          2,500,000
              EGP  ","Madinaty, Cairo",Apartment,3 ,2 ,168 sqm
متشلش هم الاقساط شقتك بالتجمع تشطيب كامل,"
          1,339,400
              EGP  ","Riviera, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,3 ,181 sqm
للبيع ارضي بحديقه بمدينتي امام الفودكورت,"
          1,850,000
              EGP  ","Madinaty, Cairo",Apartment,3 ,2 ,124 sqm
شقة 210م للبيع شقه للقطه علي خليفه المامون الرئيسى,"
          1,900,000
              EGP  ","El Khalifa El Maamoun St., Roxy, Heliopolis - Masr El Gedida, Cairo",Apartment,3 ,3 ,210 sqm
امتلك شقة فندقيه برفاهية الفنادق فقط بريفان عاصمه,"
          2,026,000
              EGP  ","Rivan, New Capital Compounds, New Capital City, Cairo",Apartment,2 ,2 ,133 sqm
شقتك في فيلات الياسمين ع الشارع الرئيسي وقسط ع سنة,"
          2,350,000
              EGP  ","El Yasmeen 1, El Yasmeen, New Cairo City, Cairo",Apartment,4 ,2 ,230 sqm
استلام فورى و تقسيط حتى 8 سنوات,"
          2,600,000
              EGP  ","Al masrawya, South Investors Area, New Cairo City, Cairo",Apartment,3 ,2 ,195 sqm
اول مشروع فندقى فى العاصمة  ريفان Rivan new capita,"
          1,050,000
              EGP  ","Rivan, New Capital Compounds, New Capital City, Cairo",Apartment,1 ,1 ,75 sqm
شقه للبيع الرحاب لقطه المرحله الخامسه رابع ع حديقه,"
          1,500,000
              EGP  ","Ibn Al Haytham St., Rehab City Fifth Phase, Al Rehab, New Cairo City, Cairo",Apartment,2 ,1 ,90 sqm
امتلك شقتك داخل كمبوند الخصوصيه والفخامه ..ريفان,"
          3,000,000
              EGP  ","R7, New Capital City, Cairo",Apartment,3 ,3 ,200 sqm
بمقدم 161.000 جنيه استلم شقتك بالعاصمه الاداريه,"
          161,000
              EGP  ","La Verde, New Capital Compounds, New Capital City, Cairo",Apartment,3 ,2 ,175 sqm
سكاى لوفت لبيع بماونتن فيو اى سيتى التجمع,"
          368,000
              EGP  ","Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,4 ,320 sqm
اسكن في ريفيرا  افضل موقع في القاهر الجديده .,"
          1,354,200
              EGP  ","Riviera, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,183 sqm
شقة 181 م في ريفيرا مع تشطيب سوبر لوكس بسعر تحفه,"
          1,339,400
              EGP  ","Riviera, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,3 ,181 sqm
شقتك فيها كل المميزات وبارخص سعر للمتر وتشطيب سوبر لوكس كمان .,"
          1,238,800
              EGP  ","Riviera, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,163 sqm
استلم بعد سنتين استلام كامل بالخدمات في ريفيرا,"
          1,276,800
              EGP  ","Riviera, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,168 sqm
للبيع شقة بمدينتي 106متر بالمرحلة الاولي B1,"
          1,300,000
              EGP  ","Madinaty, Cairo",Apartment,3 ,2 ,106 sqm
ي كمبوند ريفيرا انت مش محتاج تسكن في العاصمه.,"
          1,238,800
              EGP  ","Riviera, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,163 sqm
امتلك شقتك  بخصم 40% واستلم شقتك فوري بقلب التجمع,"
          1,350,000
              EGP  ","Galleria Residences, South Investors Area, New Cairo City, Cairo",Apartment,2 ,2 ,125 sqm
لومعاك 200 الف يبقي شقتك بالتجمع متميزة,"
          1,339,400
              EGP  ","Riviera, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,3 ,181 sqm
ارخص شقة ماونتن فيو هايد بارك كاش غرفتين فيو مميز,"
          1,530,000
              EGP  ","Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,2 ,133 sqm
استفاد بالخدمات المميزة الموجودة ريفيرا2,"
          1,238,800
              EGP  ","Riviera, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,3 ,3 ,163 sqm
بمقدم 5% استثمر ف العاصمه الاداريه وقسط ع 10سنين,"
          200,000
              EGP  ","De Joya, New Capital Compounds, New Capital City, Cairo",Apartment,5 ,3 ,385 sqm
شقة في بيت الوطن بسعر5250جنية للمتر تقسيط علي84شهر,"
          1,155,000
              EGP  ","Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",Apartment,4 ,3 ,220 sqm
شقه تخصيص في مدينتي 200 متر باقل مقدم,"
          900,000
              EGP  ","Madinaty, Cairo",Apartment,3 ,3 ,200 sqm
للبيع بالرحاب شقه 131م بحري صرف خطوات لمول افنيو,"
          1,750,000
              EGP  ","El Rehab Extension, Al Rehab, New Cairo City, Cairo",Apartment,3 ,2 ,131 sqm
امتلك بمدينه الرحاب شقه143م ارضي بجنينه55م تشطيبات,"
          2,650,000
              EGP  ","El Rehab Extension, Al Rehab, New Cairo City, Cairo",Apartment,3 ,2 ,143 sqm
شقة فى مدينتى 89 م2 بحرى للبيع تقسيط,"
          460,000
              EGP  ","Madinaty, Cairo",Apartment,2 ,2 ,89 sqm
شقه بسعر لقطططططططه ب ستون ريزيدنس 140متر دور اول,"
          1,506,000
              EGP  ","Stone Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,2 ,140 sqm
بمدينتي للبيع تشطيبات الشركة 92 م وتقسيط 7 سنوات,"
          358,000
              EGP  ","Madinaty, Cairo",Apartment,2 ,1 ,92 sqm
امتلك شقتك الان فى المعادى الجديدة معمار المرشدى,"
          2,300,000
              EGP  ","Crystal Plaza, Zahraa El Maadi, Hay El Maadi, Cairo",Apartment,3 ,3 ,235 sqm
شقة للبيع في مدينتي 175م بسعر لقطة وموقع مميز جدا,"
          2,200,000
              EGP  ","Madinaty, Cairo",Apartment,3 ,3 ,175 sqm
شقة فى مدينتى 157 م2 بحري  للبيع كاش,"
          2,500,000
              EGP  ","Madinaty, Cairo",Apartment,3 ,3 ,157 sqm
شقه 120م للبيع في العاصمة الادارية بالتقسيط 10 سنين ( خصم كبير علي الكاش ),"
          135,000
              EGP  ","De Joya, New Capital Compounds, New Capital City, Cairo",Apartment,2 ,2 ,120 sqm
بمدينتى شقة 211م للبيع فيو جاردن أول سكن بتسهيلات In Madinty Flat 211m View Garden,"
          1,300,000
              EGP  ","Madinaty, Cairo",Apartment,3 ,3 ,211 sqm
شقة للبيع في مدينتي B1 مساحة 211م,"
          2,750,000
              EGP  ","Madinaty, Cairo",Apartment,3 ,2 ,211 sqm
شقه 131 متر بهايد بارك التجمع الخامس ب 10 % مقدم,"
          210,000
              EGP  ","Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",Apartment,2 ,2 ,131 sqm
شقة للبيع ٩٠م بحديقة ٤٠م بسعر لان يتكرر,"
          1,500,000
              EGP  ","El Rehab Extension, Al Rehab, New Cairo City, Cairo",Apartment,2 ,1 ,92 sqm
إمتلك شقة 118متربحديقة بالتجمع بالتقسيط وبأقل مقدم,"
          1,641,000
              EGP  ","Beta Greens, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",Apartment,2 ,1 ,118 sqm
شقق للبيع- بكمبوند- ريتاج سيتي -التجمع الخامس,"
          1,400,000
              EGP  ","Retaj, South Investors Area, New Cairo City, Cairo",Apartment,2 ,2 ,124 sqm
شقه 120م للبيع في العاصمة الادارية بالتقسيط 10 سنين ( خصم كبير علي الكاش ),"
          135,000
              EGP  ","De Joya, New Capital Compounds, New Capital City, Cairo",Apartment,2 ,2 ,120 sqm
شقه للبيع بأميز موقع على الكلوب هاوس وخصم 20%,"
          2,293,599
              EGP  ","Armonia, New Capital Compounds, New Capital City, Cairo",Apartment,3 ,3 ,191 sqm
شقه للبيع في مدينتي القاهره الجديده,"
          1,350,000
              EGP  ","Madinaty, Cairo",Apartment,2 ,2 ,96 sqm
امتلك شقة فندقيه برفاهية الفنادق فقط بريفان عاصمه,"
          2,026,000
              EGP  ","Rivan, New Capital Compounds, New Capital City, Cairo",Apartment,2 ,2 ,133 sqm
شقتك في فيلات الياسمين ع الشارع الرئيسي وقسط ع سنة,"
          2,350,000
              EGP  ","El Yasmeen 1, El Yasmeen, New Cairo City, Cairo",Apartment,4 ,2 ,230 sqm
امتلك شقتك الان فى المعادى الجديدة معمار المرشدى,"
          2,300,000
              EGP  ","Crystal Plaza, Zahraa El Maadi, Hay El Maadi, Cairo",Apartment,3 ,3 ,235 sqm
شقة للبيع في مدينتي 175م بسعر لقطة وموقع مميز جدا,"
          2,200,000
              EGP  ","Madinaty, Cairo",Apartment,3 ,3 ,175 sqm
شقة فى مدينتى 157 م2 بحري  للبيع كاش,"
          2,500,000
              EGP  ","Madinaty, Cairo",Apartment,3 ,3 ,157 sqm
فرصه لن تكرر شقه 250م بسعر مغري للبيع بالرحاب 2,"
          3,250,000
              EGP  ","El Rehab Extension, Al Rehab, New Cairo City, Cairo",Apartment,4 ,4 ,250 sqm
شقه 131م تشطيبات خاصه بمموقع مميز للبيع بالرحاب 2,"
          1,950,000
              EGP  ","El Rehab Extension, Al Rehab, New Cairo City, Cairo",Apartment,3 ,2 ,131 sqm
شقه 136م بحديقه للبيع بالرحاب تشطيبات خاصه بالفرش,"
          2,300,000
              EGP  ","El Rehab Extension, Al Rehab, New Cairo City, Cairo",Apartment,3 ,3 ,136 sqm
شقه 99م تشطيبات خاصه للبيع بالرحاب 2 بسعر مغري,"
          1,550,000
              EGP  ","El Rehab Extension, Al Rehab, New Cairo City, Cairo",Apartment,2 ,1 ,99 sqm
فرصه 99م للبيع بالرحاب 2سعر مغري جدا,"
          1,350,000
              EGP  ","El Rehab Extension, Al Rehab, New Cairo City, Cairo",Apartment,2 ,1 ,99 sqm
فــــرصه للتمليك بالرحاب بسعر لقطه لسرعه البيع92م,"
          1,300,000
              EGP  ","El Rehab Extension, Al Rehab, New Cairo City, Cairo",Apartment,2 ,1 ,92 sqm
تشطيبات خاصه شقه للييع بمدينه الرحاب157م بحديقه,"
          2,600,000
              EGP  ","El Rehab Extension, Al Rehab, New Cairo City, Cairo",Apartment,3 ,3 ,157 sqm
مدينتى القاهرة الجديده المنطقه العاشره,"
          730,000
              EGP  ","Madinaty, Cairo",Apartment,3 ,2 ,140 sqm
شقة للبيع بأفضل مراحل الرحاب ١٣١م,"
          2,000,000
              EGP  ","El Rehab Extension, Al Rehab, New Cairo City, Cairo",Apartment,3 ,2 ,131 sqm
شقه 140 م للبيع فى مدينتى B 10 تشطيبات خاصه لقطه,"
          1,550,000
              EGP  ","Madinaty, Cairo",Apartment,3 ,2 ,140 sqm
شقه بحديقه بالنرجس الجديده بأفضل المواقع واقل سعر,"
          945,000
              EGP  ","New Narges, New Cairo City, Cairo",Apartment,3 ,2 ,150 sqm
