,title,location,bedrooms,bathrooms,area,price,compound
8753,للبيع شقه مميزه بصلاح الدين قرب اهم المناطق الحيويه بمصر الجديده,"Salah Al Din St., Al Gamea Square, Heliopolis - Masr El Gedida, Cairo",4,3,275,3500000.0,0
8754,المركز الطبي الرئيسي في التجمع الخامس,"Cairo Medical Center CMC, North Teseen St., The 5th Settlement, New Cairo City, Cairo",2,1,52,2600000.0,0
8755,شقة 135م بالمنطقه التاسعه بمدينة الشروق بالتقسيط,"3rd Neighborhood, 9th Area, Shorouk City, Cairo",2,1,135,700000.0,0
8756,"دوبلكس بجاردن  في العاصمة الادارية , قسط على 10س","Park Lane, New Capital Compounds, New Capital City, Cairo",5,3,200,200000.0,1
8757,شقه لاصحاب الذوق الرفيع في اميز مواقع مصر الجديده,"Abdullah Deraz St., Ard El Golf, Heliopolis - Masr El Gedida, Cairo",4,3,350,5200000.0,0
8758,شقة 130م في الشروق بالمنطقة الثانية مجاورة الثالثة,"3rd Neighborhood, 2nd Area, Shorouk City, Cairo",2,1,130,477750.0,0
8759,شقتك 145م بالشروق امام نادي هليوبوليس بالتقسيط,"El Nady District, Shorouk City, Cairo",3,1,145,928000.0,0
8760,شقة 130م في الشروق بالمنطقة الثانية مجاورة الثالثة,"3rd Neighborhood, 2nd Area, Shorouk City, Cairo",2,1,130,477750.0,0
8761,اشتري فيلتك 150م بسعر شقتك بالقاهرة الجديدة,"Al Tahrir Axis, Ext North Inves Area, New Cairo City, Cairo",3,3,150,3000000.0,0
8762,شقه لاصحاب الذوق الرفيع في اميز مواقع ارض الجولف,"Abo Gaafar Al Nahas St., Masaken Al Mohandesin, Nasr City, Cairo",3,2,170,1700000.0,0
8763,للبيع بالفرش والاجهزه 96م في مدينتي b7 وايد جاردن,"Madinaty, Cairo",2,2,96,1400000.0,0
8764,شقة 90م تشطيبات خاصة بحري فيو حديقة للبيع كاش,"Madinaty, Cairo",2,1,90,1100000.0,0
8765,"امتلك في النرجس الجديدة  بمقدم يبدأ  من    289,840","New Narges, New Cairo City, Cairo",3,2,163,289840.0,0
8766,"موقع مميز بحري بواجهة مميزة بمقدم يبدأ من 563,750","Al Shouyfat, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,2,205,563750.0,1
8767,أستلم شـقتـك بالنرجس علي الرئيسي 230م بـحري تقسـيط,"El Narges Buildings, Al Narges, New Cairo City, Cairo",3,3,230,2185000.0,0
8768,فى اميز مواقع التجمع بجوار الوتر واى وشارع التسعين,"Al Ashrafiya, North Investors Area, New Cairo City, Cairo",4,2,205,2300000.0,0
8769,عرض العيد شقة 120م متشطبة و خصم 600 جنيه للمتر,"Riviera, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,3,120,888000.0,1
8770,بمقدم 10ّ% علي 10 سنين امتلك شقتك باحسن موقع داخل التجمع الخامس,"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",2,1,160,2500000.0,1
8771,٨٩م بالقسط فى مدينتى القاهرة الجديدة B6,"Madinaty, Cairo",2,2,89,430000.0,0
8772,شقه 190م للبيع موقع مميز جدا ف النرجس تشطيب لوكس,"Wasef Ghaly Basha St., Al Narges 4, Al Narges, New Cairo City, Cairo",3,2,190,2650000.0,0
8773,شقة بيع ١٧٥م٢  مدينتى القاهرة الجديدة B2,"Madinaty, Cairo",3,3,175,2150000.0,0
8774,شقة 133 متر للبيع فى مدينتى القاهرة الجديدة      .,"Madinaty, Cairo",3,2,133,1600000.0,0
8775,شقة للبيع بمدينتي137 متر جاردن فيو بجوار الفودكورد,"Madinaty, Cairo",3,2,137,1600000.0,0
8776,شقة للبيع 320 متر بمدينتى بالB1,"Madinaty, Cairo",5,4,320,3800000.0,0
8777,شقة للبيع في الحى الثالث – التجمع الخامس,"Street 30, District 3, The 5th Settlement, New Cairo City, Cairo",6,3,400,5250000.0,0
8778,لراغبين تملك شقة بحديقة خاصة بفيو رائع في مدينتي,"Madinaty, Cairo",3,3,159,2600000.0,0
8779,شقة بحديقة بكمبوند ستون ريزيدنس موقع مميز        .,"Stone Residence, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,3,200,2650000.0,1
8780,شقق للبيع باللوتس الجنوبي ادوار متكرره 155 متر,"South Lotus, El Lotus, New Cairo City, Cairo",3,2,155,950000.0,0
8781,احدي مشروعات الشركة المالكة لمول العرب الان بالتجمع,"District 5, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",3,2,160,3000000.0,1
8782,شقة للبيع تقسيط 116م بال B10 استلام فورى .,"Madinaty, Cairo",3,2,116,1250000.0,0
8783,اقوي التخصيصات داخل مدينتي من خلال ديار جروب,"Madinaty, Cairo",3,2,200,700000.0,0
8784,للبيع في مدينتي شقه 135متر نموزج 200 بال B1,"Madinaty, Cairo",3,2,135,1750000.0,0
8785,شقه للبيع الترا سوبر لوكس في فيلات التجمع الاول,"Mostafa Kamel Axis, The 1st Settlement, New Cairo City, Cairo",3,1,185,1850000.0,0
8786,شقة للبيع تقسيط على 4 سنوات  140م بمدينتى .,"Madinaty, Cairo",3,2,140,1200000.0,0
8787,مدينتي b7. دور اول. تشطيبات خاصه. تصميم معدل.,"Madinaty, Cairo",2,2,96,1200000.0,0
8788,شقة سقف عالى للبيع ترى النيل بالزمالك,"Al Adel Abu Bakr St., Zamalek, Cairo",3,2,185,4500000.0,0
8789,شقة ناصية بالاندلس عائلي - بحري - دور اول,"Al Andalus Buildings, Al Andalus District, New Cairo City, Cairo",3,1,120,950000.0,0
8790,220م بأفضل مواقع بيت الوطن 7000 شهريا تقسيط 72 شهر,"Bait Alwatan, The 5th Settlement, New Cairo City, Cairo",3,3,220,197000.0,0
