,Amenities,Bedrooms,Bathrooms,Area,Furnished,Level,location,Compound,price,title
9577,"['Security', 'Pets Allowed']",3,2,131.0,0,5,Madinaty,Madinaty,1450000.0,شقه لقطه للبيع b6 اول سكن علي وايد جاردن ب...
9578,[],3,3,250.0,0,6,Nasr City,Not in Compound,2500000.0,شقه للبيع لهواه الفخامة 300 م نص تشطيب في ...
9579,[],2,1,115.0,0,3,Mokattam,Not in Compound,690000.0,شقه بالهضبه الوسطى
9580,[],3,1,130.0,0,8,Maadi,Not in Compound,450000.0,للبيع شقة عند مكتبة سوزان مبارك 130 م تشطس...
9581,"['Security', 'Covered Parking']",3,3,160.0,0,4,Rehab City,Rehab City,1500000.0,155 م تمليك دور رابع بسعر لقطه جدا
9582,"['Covered Parking', 'Elevator']",3,3,195.0,0,4,Maadi,Not in Compound,1650000.0,للبيع شقه 195 متر سوبر لوكس بالشطر السابع ...
9583,['Security'],2,1,86.0,0,2,Nasr City,Not in Compound,650000.0,للبيع شقه 86م زهراء مدينة نصر عمارات الضبا...
9584,"['Security', 'Covered Parking', 'Elevator', 'Pets Allowed']",3,2,130.0,0,1,New Cairo - El Tagamoa,Dar Misr,380000.0,شقه لققققققققققطه للبيع بدار مصر القرنفل
9585,[],3,3,250.0,0,7,Nasr City,Not in Compound,2500000.0,شقه للبيع لهواه الفخامة 250 متر في حسنين ه...
9586,"['Security', 'Elevator', 'Pets Allowed']",2,1,100.0,0,6,New Nozha,Not in Compound,250000.0,النزهه 2 قريب من المترو والمطار وتم دفع او...
9587,['Elevator'],2,1,135.0,0,7,Heliopolis,Not in Compound,1650000.0,شقة ١٣٥ متر بسانت فاتيما
9588,['Elevator'],3,2,152.0,0,5,Maadi,Not in Compound,620000.0,شقه 152م صقر قريش المعادي
9589,[],2,1,115.0,0,3,New Cairo - El Tagamoa,Abu Al-Hool,550000.0,شقة للبيع ف جاردينيا
9590,[],1,1,63.0,0,1,Maadi,Not in Compound,370000.0,شقه للبيع ٦٣م للبيع - عمارات العرايس - الم...
9591,"['Security', 'Elevator', 'Maids Room', 'Pets Allowed']",3,2,200.0,0,11,Maadi,Not in Compound,500000.0,روف للبيع ٢٠٠ متر بحدائق المعادي
9592,[],3,3,187.0,0,1,New Cairo - El Tagamoa,Eastown,3000000.0,شقه بسعر مميزللبيع في استاون Eastown new C...
9593,['Elevator'],4,3,196.0,0,3,Rehab City,Not in Compound,2900000.0,بالرحاب شقة للبيع 196م موقع متميز جدا قربي...
9594,[],2,1,62.0,0,5,Obour City,Not in Compound,160000.0,شقه للبيع
9595,"['Security', 'Covered Parking']",3,2,112.0,0,0,Rehab City,Not in Compound,2350000.0,شقة 3نوم و2حمام ارضي بحديقة تشطيب خاص للبي...
9596,['Elevator'],2,1,105.0,0,10,Helmeyat El Zaytoun,Not in Compound,670000.0,شقه تشطيب سوبر لوكس
9597,"['Security', 'Covered Parking', 'Elevator', 'Pets Allowed']",2,2,90.0,0,0,Madinaty,Madinaty,1100000.0,شقه للبيع بمدينتي 90متر أرضي b7
9598,[],3,1,90.0,0,4,Helwan,Not in Compound,270000.0,شقه للبيع
9599,[],3,2,150.0,0,6,New Nozha,Not in Compound,1000000.0,شقه تمليك في النزهه الجديده
9600,['Pets Allowed'],2,1,65.0,0,3,Obour City,Not in Compound,375000.0,شقة بالعبور سوبر لوكس
9601,"['Security', 'Elevator', 'Maids Room']",3,3,175.0,0,1,Madinaty,Madinaty,2250000.0,للبيع بمدينتي شقه بمساحة 175 متر ب الB1 في...
9602,[],3,1,129.0,0,5,Nasr City,Not in Compound,850000.0,شقه 129م شارع رئيسي مدينه نصر
9603,"['Security', 'Covered Parking', 'Elevator', 'Pets Allowed']",2,2,106.0,0,6,Rehab City,Not in Compound,1200000.0,شقه للايجار
9604,['Elevator'],2,2,122.0,0,7,Nasr City,Not in Compound,1250000.0,شقه للبيع مدينه نصر ارض الجولف
9605,['Security'],3,1,110.0,1,3,Gesr Al Suez,Not in Compound,1050000.0,شقه للبيع
9606,"['Security', 'Elevator', 'Pets Allowed']",3,2,130.0,0,2,New Cairo - El Tagamoa,Dar Misr,500000.0,شقة للبيع فيو النادي مباشر بالقرنفل دار مص...
9607,[],2,1,100.0,0,1,Nasr City,Not in Compound,600000.0,شقه لقطه بأحمدالزمرالرئيسى
9608,[],3,2,155.0,0,4,Obour City,Not in Compound,320000.0,استلم شقتك باقل الاسعار بمنتجع النخيل
9609,[],3,2,165.0,0,10,Nasr City,Not in Compound,550000.0,شقه للبيع
9610,[],3,2,165.0,0,10,Badr City,Not in Compound,900000.0,امام مستشفي الهرم شارع سفاره النيجر
9611,"['Covered Parking', 'Elevator', 'Pets Allowed']",3,2,144.0,0,2,Obour City,Not in Compound,580000.0,شقة لقطة للبيع بالعبور
9612,[],3,2,200.0,0,2,New Cairo - El Tagamoa,Not in Compound,2430000.0,Apartment for Sale Banfseg Villas ‏شقة للب...
9613,"['Security', 'Elevator']",3,1,150.0,0,11,Hadayek Helwan,Not in Compound,150000.0,روف للبيع كاشف النيل كله حدائق حلوان
9614,"['Covered Parking', 'Elevator']",3,2,225.0,0,10,Nasr City,Not in Compound,1500000.0,لقطه لسرعه البيع بالنحاس الرئيسي
9615,[],3,3,245.0,0,1,Madinaty,Madinaty,2800000.0,نموزج 500 للبيع بسعر تجاري لقطة
